H,accept_rate_pct,alive_frac_mean,edges,final_acc,fixture,peak_acc,phi_dim,seed,unique_preds,wall_clock_s
128,78.125,0.713924,1146,0.02,mutual_inhibition,0.046,79,42,2,693.608
128,77.505,0.718987,1145,0.024,mutual_inhibition,0.031,79,1042,2,691.239
128,77.19,0.740506,1146,0.043,mutual_inhibition,0.049,79,2042,1,687.046
128,76.09,0.76962,1145,0.018,mutual_inhibition,0.03,79,3042,1,707.284
128,80.72,0.662658,1145,0.029,mutual_inhibition,0.032,79,4042,1,722.858
256,28.78,0.331013,4587,0.067,mutual_inhibition,0.075,158,42,2,1031.389
256,31.39,0.524051,4587,0.033,mutual_inhibition,0.044,158,1042,2,1063.99
256,60.655,0.549684,4586,0.038,mutual_inhibition,0.047,158,2042,2,1327.46
256,46.26,0.37057,4587,0.018,mutual_inhibition,0.031,158,3042,3,1139.889
256,39.08,0.407595,4587,0.051,mutual_inhibition,0.067,158,4042,3,1087.121
384,17.485,0.405485,9145,0.035,mutual_inhibition,0.038,237,42,3,1890.275
384,12.165,0.393249,8511,0.017,mutual_inhibition,0.027,237,1042,3,1799.327
384,9.325,0.633755,8280,0.043,mutual_inhibition,0.044,237,2042,1,1823.869
384,20.455,0.420042,9201,0.014,mutual_inhibition,0.02,237,3042,3,1988.238
384,26.555,0.385021,9676,0.043,mutual_inhibition,0.047,237,4042,2,2119.286
128,19.49,0.511392,1145,0.034,bytepair_proj,0.06,79,42,,482.28
128,30.54,0.648101,1145,0.06,bytepair_proj,0.064,79,1042,,552.339
128,34.31,0.71962,1146,0.05,bytepair_proj,0.054,79,2042,,560.276
128,23.65,0.712025,1146,0.026,bytepair_proj,0.037,79,3042,,504.765
128,21.525,0.718987,1146,0.037,bytepair_proj,0.047,79,4042,,505.784
256,5.19,0.147468,3460,0.029,bytepair_proj,0.034,158,42,,876.759
256,7.6,0.167722,3971,0.018,bytepair_proj,0.041,158,1042,,1699.126
256,4.2,0.223101,3482,0.026,bytepair_proj,0.04,158,2042,,871.405
256,9.74,0.203797,4083,0.012,bytepair_proj,0.023,158,3042,,888.246
256,11.715,0.204747,4220,0.033,bytepair_proj,0.043,158,4042,,899.209
384,1.05,0.075949,7232,0.036,bytepair_proj,0.06,237,42,,1504.395
384,0.05,0.0,7209,0.0,bytepair_proj,0.0,237,1042,,1409.37
384,0.5,0.050633,7171,0.007,bytepair_proj,0.023,237,2042,,1415.245
384,0.56,0.047679,7270,0.026,bytepair_proj,0.027,237,3042,,1423.233
384,0.905,0.073418,7339,0.048,bytepair_proj,0.048,237,4042,,1458.625
