step,loss,acc,lr,elapsed_s
1,5.583884,0.0082,0.000010,0.4
10,5.548782,0.0027,0.000100,3.0
20,5.547988,0.0179,0.000200,6.2
30,5.526256,0.0027,0.000300,9.1
40,5.558113,0.0060,0.000400,12.0
50,5.457245,0.0395,0.000500,15.0
60,5.570470,0.0040,0.000600,18.0
70,5.417448,0.0211,0.000700,20.9
80,5.577964,0.0025,0.000800,23.9
90,5.160545,0.0302,0.000900,26.9
100,5.587924,0.0000,0.001000,29.9
110,5.167577,0.0870,0.001000,32.8
120,5.333706,0.0097,0.001000,35.8
130,4.997692,0.0512,0.001000,38.8
140,5.568748,0.0148,0.001000,41.8
150,5.546134,0.0057,0.001000,44.8
160,5.592627,0.0034,0.001000,47.7
170,5.554215,0.0000,0.001000,50.7
180,5.555945,0.0032,0.001000,53.7
190,5.237928,0.0880,0.001000,56.5
200,4.645372,0.1852,0.001000,59.5
210,4.862075,0.1394,0.001000,62.6
220,4.641964,0.1709,0.001000,65.5
230,5.057621,0.1339,0.001000,68.5
240,4.314433,0.3397,0.001000,71.5
250,5.542293,0.0225,0.001000,74.5
260,4.738862,0.1580,0.001000,77.5
270,5.562357,0.0000,0.001000,80.4
280,5.569606,0.0000,0.001000,83.4
290,5.547311,0.0000,0.001000,86.4
300,5.573197,0.0000,0.001000,89.5
310,4.097839,0.3523,0.001000,92.4
320,5.555268,0.0037,0.001000,95.3
330,5.558693,0.0026,0.001000,98.4
340,5.573059,0.0000,0.001000,101.3
350,4.926038,0.1352,0.001000,104.3
360,4.806512,0.1579,0.001000,107.2
370,4.916309,0.1520,0.001000,110.2
380,4.949181,0.1332,0.001000,113.1
390,5.067804,0.1034,0.001000,116.0
400,4.436077,0.2284,0.001000,118.9
410,4.861109,0.1429,0.001000,121.9
420,4.974761,0.1224,0.001000,124.9
430,4.805367,0.1335,0.001000,127.8
440,4.194829,0.2683,0.001000,130.6
450,5.576669,0.0000,0.001000,133.7
460,5.547651,0.0029,0.001000,136.7
470,5.536313,0.0000,0.001000,139.5
480,4.003213,0.3036,0.001000,142.5
490,4.334499,0.2188,0.001000,145.6
500,5.562016,0.0000,0.001000,148.6
510,5.538294,0.0000,0.001000,151.7
520,4.779999,0.1534,0.001000,154.9
530,4.314347,0.2315,0.001000,157.9
540,4.257530,0.2380,0.001000,160.8
550,4.736761,0.1569,0.001000,163.8
560,5.552335,0.0030,0.001000,166.9
570,4.576571,0.1875,0.001000,169.9
580,5.546855,0.0000,0.001000,172.9
590,4.162921,0.2597,0.001000,175.9
600,4.876655,0.1274,0.001000,178.8
610,5.550498,0.0045,0.001000,181.7
620,5.560093,0.0101,0.001000,184.8
630,4.791350,0.1359,0.001000,187.9
640,3.424741,0.3802,0.001000,191.1
650,5.536170,0.0110,0.001000,194.0
660,5.544072,0.0029,0.001000,197.1
670,4.817186,0.1371,0.001000,200.1
680,5.544539,0.0030,0.001000,203.3
690,5.541594,0.0000,0.001000,206.3
700,4.243710,0.2464,0.001000,209.4
710,5.568386,0.0033,0.001000,212.6
720,4.801317,0.1312,0.001000,215.7
730,3.643763,0.3447,0.001000,218.7
740,4.805715,0.1380,0.001000,221.7
750,4.516891,0.1875,0.001000,224.7
760,5.547708,0.0058,0.001000,227.7
770,5.578306,0.0000,0.001000,230.8
780,3.869049,0.3095,0.001000,233.9
790,4.730268,0.1466,0.001000,236.9
800,3.132516,0.4318,0.001000,240.1
810,4.911890,0.1134,0.001000,243.1
820,5.545184,0.0000,0.001000,246.1
830,4.486821,0.2008,0.001000,249.1
840,5.556334,0.0050,0.001000,252.2
850,4.747299,0.1523,0.001000,255.3
860,5.558149,0.0125,0.001000,258.4
870,4.880490,0.1189,0.001000,261.4
880,5.551995,0.0054,0.001000,264.5
890,5.560444,0.0053,0.001000,267.6
900,4.743125,0.1429,0.001000,270.6
910,5.550217,0.0000,0.001000,273.8
920,4.860218,0.1296,0.001000,276.9
930,3.734601,0.3218,0.001000,279.9
940,4.626947,0.1612,0.001000,282.9
950,5.542821,0.0104,0.001000,286.0
960,5.554585,0.0057,0.001000,289.0
970,4.031998,0.2711,0.001000,292.0
980,4.047844,0.2630,0.001000,295.0
990,5.558369,0.0000,0.001000,298.0
1000,4.891983,0.1227,0.001000,301.0
