step,loss,acc,bpc,lr,gnorm,elapsed_s
1,5.623048,0.0000,8.1123,0.000020,3.2499,1.8
10,5.310606,0.1901,7.6616,0.000200,2.8095,21.2
20,4.986403,0.1897,7.1939,0.000400,2.2307,42.8
30,4.647943,0.1896,6.7056,0.000600,1.8385,64.3
40,4.214339,0.1897,6.0800,0.000800,1.6954,85.8
50,3.816242,0.1906,5.5057,0.001000,2.2266,107.4
60,3.520586,0.1883,5.0791,0.001000,0.9942,129.1
70,3.323131,0.1869,4.7943,0.001000,0.6351,150.9
80,3.269400,0.1889,4.7167,0.001000,0.4063,172.8
90,3.213838,0.1944,4.6366,0.001000,0.2716,194.4
100,3.268384,0.1906,4.7153,0.001000,0.2555,216.2
110,3.181283,0.1918,4.5896,0.001000,0.2382,238.0
120,3.156243,0.1900,4.5535,0.001000,0.3150,259.7
130,3.132536,0.1888,4.5193,0.001000,0.3680,281.5
140,3.098196,0.1941,4.4698,0.001000,0.5795,303.6
150,3.088314,0.1900,4.4555,0.001000,0.4861,325.9
160,3.063417,0.1975,4.4196,0.001000,0.4312,348.1
170,3.010582,0.2027,4.3434,0.001000,1.5115,370.3
180,2.969121,0.2125,4.2835,0.001000,4.2135,392.4
190,2.945990,0.2321,4.2502,0.001000,1.9082,414.4
200,2.922317,0.2328,4.2160,0.001000,0.7912,436.4
210,2.906238,0.2384,4.1928,0.001000,0.7090,459.0
220,2.877229,0.2561,4.1510,0.001000,0.5321,481.0
230,2.835021,0.2657,4.0901,0.001000,0.3603,503.3
240,2.773776,0.2814,4.0017,0.001000,0.7323,525.5
250,2.767550,0.2730,3.9927,0.001000,0.5310,547.6
260,2.715705,0.2780,3.9179,0.001000,0.5493,569.8
270,2.696433,0.2779,3.8901,0.001000,1.4388,592.3
280,2.724123,0.2796,3.9301,0.001000,0.7620,614.6
290,2.717725,0.2717,3.9208,0.001000,0.6932,636.6
300,2.678469,0.2806,3.8642,0.001000,0.6830,658.8
310,2.642500,0.2916,3.8123,0.001000,0.8424,681.0
320,2.584229,0.2915,3.7283,0.001000,1.2692,703.1
330,2.664758,0.2881,3.8444,0.001000,4.0999,725.3
340,2.645533,0.2990,3.8167,0.001000,1.3054,747.6
350,2.612899,0.2966,3.7696,0.001000,1.1800,769.7
360,2.580946,0.3010,3.7235,0.001000,8.3535,791.8
370,2.553082,0.2940,3.6833,0.001000,1.6818,813.9
380,2.555456,0.3046,3.6867,0.001000,0.7995,836.1
390,2.594862,0.2989,3.7436,0.001000,17.5326,858.2
400,2.490690,0.3210,3.5933,0.001000,1.1818,880.1
410,2.512005,0.3169,3.6241,0.001000,0.6184,902.2
420,2.505420,0.3141,3.6146,0.001000,1.9762,924.7
430,2.502083,0.3181,3.6097,0.001000,1.3259,947.2
440,2.458629,0.3245,3.5471,0.001000,0.6292,969.7
450,2.455592,0.3249,3.5427,0.001000,0.8417,992.1
460,2.444612,0.3222,3.5268,0.001000,0.9911,1014.5
470,2.441057,0.3276,3.5217,0.001000,0.7475,1036.7
480,2.435671,0.3303,3.5139,0.001000,0.8231,1058.9
490,2.484722,0.3201,3.5847,0.001000,0.9783,1081.6
500,2.426699,0.3342,3.5010,0.001000,26.6269,1103.7
